class_name,pageid,title,url,local_path,width,height,mime,license_short,license_url,artist,credit,attribution_required,usage_terms,download_ok
hamburger,122647211,File:Hamburger on chicken Alfredo - Massachusetts.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Hamburger_on_chicken_Alfredo_-_Massachusetts.jpg,data/wild_images/hamburger/122647211_c5d760dbfd.jpg,2812,2812,image/jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",true,Creative Commons Attribution-Share Alike 4.0,True
hamburger,148670685,"File:Homemade Hamburger, May 2024.jpg",https://upload.wikimedia.org/wikipedia/commons/8/88/Homemade_Hamburger%2C_May_2024.jpg,data/wild_images/hamburger/148670685_c9b51a2242.jpg,4080,3072,image/jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Ralffralff"" title=""User:Ralffralff"">Ralff Nestor Nacor</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",true,Creative Commons Attribution-Share Alike 4.0,True
hamburger,12531552,File:Hamburger in New Zealand.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Hamburger_in_New_Zealand.jpg,data/wild_images/hamburger/12531552_e3c7e3dd14.jpg,720,540,image/jpeg,Public domain,,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Tomwsulcer&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Tomwsulcer (page does not exist)"">Tomwsulcer</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",false,Public domain,True
hamburger,24283401,"File:Hamburger and fries - Brownswood, Finsbury Park, London.jpg",https://upload.wikimedia.org/wikipedia/commons/d/df/Hamburger_and_fries_-_Brownswood%2C_Finsbury_Park%2C_London.jpg,data/wild_images/hamburger/24283401_9630554441.jpg,3038,2278,image/jpeg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/55935853@N00"">Ewan Munro</a> from London, UK","<p><a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/55935853@N00/6504388225/"">Brownswood, Finsbury Park, London</a>
</p>
<ul><li>Uploaded by <a href=""//commons.wikimedia.org/wiki/User:Tm"" title=""User:Tm"">tm</a></li></ul>",true,Creative Commons Attribution-Share Alike 2.0,True
hamburger,26798816,File:Fast Food Bembos Peru.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Fast_Food_Bembos_Peru.jpg,data/wild_images/hamburger/26798816_08de404c7b.jpg,1280,960,image/jpeg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,EazyIanish,"<a rel=""nofollow"" class=""external free"" href=""https://www.flickr.com/photos/28992197@N00/5321021372/"">https://www.flickr.com/photos/28992197@N00/5321021372/</a>",true,Creative Commons Attribution 2.0,True
hamburger,150951236,File:HK McDonalds Restaurant product 麥當勞食品 煎蛋 n 牛肉漢堡包 egg beef ham burger July 2024 R12S 02.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2b/HK_McDonalds_Restaurant_product_%E9%BA%A5%E7%95%B6%E5%8B%9E%E9%A3%9F%E5%93%81_%E7%85%8E%E8%9B%8B_n_%E7%89%9B%E8%82%89%E6%BC%A2%E5%A0%A1%E5%8C%85_egg_beef_ham_burger_July_2024_R12S_02.jpg,data/wild_images/hamburger/150951236_7e1e479acd.jpg,4000,3000,image/jpeg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"<a href=""//commons.wikimedia.org/wiki/User:FourVZS_2024"" title=""User:FourVZS 2024"">FourVZS 2024</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",false,"Creative Commons Zero, Public Domain Dedication",True
hamburger,80211233,File:Food in victoria (8651401678).jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Food_in_victoria_%288651401678%29.jpg,data/wild_images/hamburger/80211233_f7052f575f.jpg,3264,2448,image/jpeg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/66961498@N05"">Jen Arrr</a>","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/jenarrr/8651401678/"">Flickr</a>",true,Creative Commons Attribution 2.0,True
hamburger,68875082,"File:Budapest, Istvánffi Veggie Burger, Duplaluxe burger.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d8/Budapest%2C_Istv%C3%A1nffi_Veggie_Burger%2C_Duplaluxe_burger.jpg,data/wild_images/hamburger/68875082_180633a320.jpg,4480,2688,image/jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Christo~commonswiki"" class=""mw-redirect"" title=""User:Christo~commonswiki"">Christo</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",true,Creative Commons Attribution-Share Alike 4.0,True
hamburger,112571549,File:Food burger 004 homemade with cheddar and bacon.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Food_burger_004_homemade_with_cheddar_and_bacon.jpg,data/wild_images/hamburger/112571549_df5c32bab8.jpg,4032,3024,image/jpeg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Jan Helebrant,"<a rel=""nofollow"" class=""external free"" href=""https://www.flickr.com/photos/96541566@N06/51238774678/"">https://www.flickr.com/photos/96541566@N06/51238774678/</a>",false,"Creative Commons Zero, Public Domain Dedication",True
hamburger,75880667,File:Melville Tavern - December 2018 - Stierch.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Melville_Tavern_-_December_2018_-_Stierch.jpg,data/wild_images/hamburger/75880667_a8c6f5edb4.jpg,4032,3024,image/jpeg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Missvain"" title=""User:Missvain"">Missvain</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",true,Creative Commons Attribution 4.0,True
hamburger,124656235,File:Hamburger set.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Hamburger_set.jpg,data/wild_images/hamburger/124656235_b1e8cba6a5.jpg,2892,2892,image/jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Iddd00&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Iddd00 (page does not exist)"">Iddd00</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",true,Creative Commons Attribution-Share Alike 4.0,True
