split,width,height
train,512,512
train,512,512
train,512,471
train,512,346
train,384,512
train,384,512
train,512,384
train,512,512
train,512,512
train,512,384
train,384,512
train,512,512
train,382,512
train,512,512
train,512,512
train,512,306
train,512,512
train,512,384
train,384,512
train,512,500
train,512,512
train,512,512
train,384,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,382
train,512,382
train,512,512
train,512,512
train,512,512
train,512,384
train,512,512
train,512,512
train,512,288
train,512,512
train,512,384
train,512,384
train,512,512
train,512,512
train,512,440
train,512,512
train,512,384
train,512,384
train,512,512
train,512,289
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,384,512
train,512,384
train,512,382
train,384,512
train,511,512
train,512,512
train,512,512
train,512,384
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,382
train,512,512
train,512,453
train,382,512
train,512,512
train,306,512
train,512,341
train,512,512
train,512,384
train,384,512
train,512,512
train,382,512
train,512,382
train,512,384
train,512,512
train,512,288
train,512,512
train,512,383
train,512,512
train,512,307
train,512,307
train,384,512
train,512,512
train,512,512
train,512,356
train,512,384
train,512,307
train,512,512
train,512,512
train,512,512
train,307,512
train,512,512
train,512,512
train,512,512
train,512,512
train,382,512
train,512,384
train,384,512
train,512,512
train,384,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,382,512
train,512,307
train,512,512
train,512,384
train,512,512
train,512,384
train,512,306
train,512,512
train,512,469
train,512,512
train,512,384
train,382,512
train,512,340
train,512,512
train,512,512
train,512,384
train,512,306
train,512,512
train,512,512
train,512,384
train,512,512
train,512,512
train,512,512
train,512,384
train,512,512
train,512,384
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,384
train,512,512
train,512,512
train,512,512
train,512,512
train,512,384
train,384,512
train,512,512
train,512,512
train,382,512
train,512,340
train,512,512
train,512,384
train,384,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,304
train,384,512
train,512,512
train,512,512
train,306,512
train,512,512
train,512,512
train,512,512
train,382,512
train,512,512
train,512,288
train,512,339
train,512,512
train,512,512
train,512,384
train,512,384
train,511,512
train,512,512
train,512,512
train,512,384
train,384,512
train,512,307
train,512,512
train,512,384
train,512,384
train,512,512
train,512,512
train,512,384
train,512,512
train,382,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,384
train,512,384
train,512,384
train,512,512
train,383,512
train,512,289
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,384,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,384
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,340
train,512,384
train,384,512
train,512,460
train,512,384
train,512,512
train,382,512
train,512,384
train,512,512
train,512,512
train,512,512
train,512,512
train,512,384
train,512,512
train,384,512
train,512,512
train,384,512
train,512,384
train,512,341
train,512,512
train,512,382
train,512,384
train,512,377
train,512,384
train,512,512
train,512,288
train,512,512
train,512,383
train,512,512
train,512,384
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,384
train,512,512
train,512,512
train,512,512
train,384,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,384,512
train,308,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,512
train,384,512
train,512,512
train,382,512
train,384,512
train,512,512
train,512,512
train,512,306
train,341,512
train,512,287
train,512,384
train,382,512
train,512,512
train,384,512
train,512,512
train,512,512
train,512,512
train,512,512
train,512,382
train,512,384
train,384,512
train,512,326
train,512,512
