split,corruption,severity,acc1,macro_f1
val,clean,0,0.678,0.6733448098139978
val,gaussian_noise,1,0.6694,0.6655327656038885
val,gaussian_noise,2,0.6362,0.6332572835887035
val,gaussian_noise,3,0.5748,0.5741631010551232
val,gaussian_noise,4,0.4726,0.4776228623541128
val,gaussian_noise,5,0.349,0.36867618385269607
val,blur,1,0.6826,0.6772717202676062
val,blur,2,0.6734,0.6666723765285597
val,blur,3,0.64,0.6324490601234396
val,blur,4,0.5968,0.5884262008451957
val,blur,5,0.551,0.540776040122327
val,brightness,1,0.68,0.6746112207433035
val,brightness,2,0.6742,0.6698663049370273
val,brightness,3,0.6616,0.6570800244726231
val,brightness,4,0.6328,0.6286976396856042
val,brightness,5,0.5754,0.5716128389332072
val,jpeg,1,0.6664,0.6619918459606116
val,jpeg,2,0.666,0.6628344813355644
val,jpeg,3,0.6574,0.6542815970041943
val,jpeg,4,0.62,0.6174752840395379
val,jpeg,5,0.5076,0.5094202099524048
wild,clean,0,0.4219858156028369,0.0550651252868677
wild,gaussian_noise,1,0.4326241134751773,0.05605723020530309
wild,gaussian_noise,2,0.425531914893617,0.05543211850792893
wild,gaussian_noise,3,0.425531914893617,0.055495072892896756
wild,gaussian_noise,4,0.41134751773049644,0.054183912038388675
wild,gaussian_noise,5,0.41843971631205673,0.054963648293931654
wild,blur,1,0.4326241134751773,0.055794555824900983
wild,blur,2,0.4397163120567376,0.056688597689877634
wild,blur,3,0.4326241134751773,0.05583074186945239
wild,blur,4,0.4326241134751773,0.05608286231534135
wild,blur,5,0.425531914893617,0.055530114629999655
wild,brightness,1,0.425531914893617,0.055423317692671975
wild,brightness,2,0.3971631205673759,0.05289204173593617
wild,brightness,3,0.375886524822695,0.05046433990610484
wild,brightness,4,0.36524822695035464,0.04997643564623681
wild,brightness,5,0.3333333333333333,0.046320405542262605
wild,jpeg,1,0.4326241134751773,0.05589089185339232
wild,jpeg,2,0.41843971631205673,0.05443057933630796
wild,jpeg,3,0.4219858156028369,0.0547904393713583
wild,jpeg,4,0.4148936170212766,0.05438204256631209
wild,jpeg,5,0.38652482269503546,0.05156833252063958
